Civilite*,Nom*,Prénom*,Nom de la société*,SIRET,Catégorie de tiers*,Nature juridique*,Adresse,Complément,Code postal *,Commune *,Pays *,Téléphone *,Téléphone 2,Mail *,Nom *,SIRET,Nature d'hébergement *,Référence interne,Catégorie (Atout France)*,Date de la catégorie *,Date d'application de la catégorie *,Date de début de collecte sur la plateforme *,Adresse,Complément,Code postal *,Commune *,Latitude,Longitude,Téléphone *,Téléphone 2,Nombre de chambres ou emplacements *,Capacité (Nombre de personnes) *,Site Web,Descriptif,Remarques
,Julien et Mélinda,,,,,,,Julien et Mélinda,,,Guadeloupe,,,,Villa CANNELLE 3 chambres,,Villa 2 Chambres :,,,,,,"CHEMIN DE LA BATTERIE, 97126 Deshaies, GuadeloupeExcellente situation géographique — avec une note de 10/10!(note basée sur 5 commentaires)Évaluée par les clients après leur séjour à l'établissement Villa CANNELLE 3 chambres.",,,Deshaies,,,,,,,https://www.booking.com/hotel/gp/villa-cannelle-deshaies.fr.html?aid=304142&label=gen173nr-1FCAQoggJCKHNlYXJjaF9kZXNoYWllcy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4Av_c070GwAIB0gIkZDRmYzNhYzgtNjA0MS00NTlkLWIxMmEtZTczYThlNDcxMDQy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=797d907fd4480663&srepoch=1739910790&from=searchresults,Villa CANNELLE 3 chambres,Booking
,,,,,,,,,,,Guadeloupe,,,,Le matelot de la baie,,Hébergement - Vue sur Baie de Deshaies,,,,,,"impasse Fleury, 97126 Deshaies, GuadeloupeExcellente situation géographique — avec une note de 9.4/10!(note basée sur 152 commentaires)Évaluée par les clients après leur séjour à l'établissement Le matelot de la baie.",,,Deshaies,,,,,,,https://www.booking.com/hotel/gp/le-matelot-de-la-baie.fr.html?aid=304142&label=gen173nr-1FCAQoggJCKHNlYXJjaF9kZXNoYWllcy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4Av_c070GwAIB0gIkZDRmYzNhYzgtNjA0MS00NTlkLWIxMmEtZTczYThlNDcxMDQy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=797d907fd4480663&srepoch=1739910790&from=searchresults,Le matelot de la baie,Booking
,Rosette,,,,,,,Rosette,,,Guadeloupe,,,,Prune Café,,Maison 1 Chambre,,,,,,"leroux, chemin de la riviere, 97126 Deshaies, GuadeloupeUne fois votre réservation effectuée, toutes les informations sur l'établissement, y compris le numéro de téléphone et l'adresse, seront disponibles sur votre confirmation de réservation ainsi que dans votre compte.",,,Deshaies,,,,,,,https://www.booking.com/hotel/gp/delice-prune-cafe.fr.html?aid=304142&label=gen173nr-1FCAQoggJCKHNlYXJjaF9kZXNoYWllcy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4Av_c070GwAIB0gIkZDRmYzNhYzgtNjA0MS00NTlkLWIxMmEtZTczYThlNDcxMDQy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=797d907fd4480663&srepoch=1739910790&from=searchresults,Prune Café,Booking
,,,,,,,,,,,Guadeloupe,,,,Les Lianes De Corail,,Appartement 1 Chambre,,,,,,"67 Petite Rivière, 97126 Deshaies, GuadeloupeExcellente situation géographique — avec une note de 9/10!(note basée sur 35 commentaires)Évaluée par les clients après leur séjour à l'établissement Les Lianes De Corail.",,,Deshaies,,,,,,,https://www.booking.com/hotel/gp/les-lianes-de-corail.fr.html?aid=304142&label=gen173nr-1FCAQoggJCKHNlYXJjaF9kZXNoYWllcy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4Av_c070GwAIB0gIkZDRmYzNhYzgtNjA0MS00NTlkLWIxMmEtZTczYThlNDcxMDQy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=797d907fd4480663&srepoch=1739910790&from=searchresults,Les Lianes De Corail,Booking
,,,,,,,,,,,Guadeloupe,,,,La Baie du Bonheur,,Chambre Double,,,,,,"Villers, 97126 Deshaies, GuadeloupeExcellente situation géographique — avec une note de 9.4/10!(note basée sur 79 commentaires)Évaluée par les clients après leur séjour à l'établissement La Baie du Bonheur.",,,Deshaies,,,,,,,https://www.booking.com/hotel/gp/la-baie-du-bonheur.fr.html?aid=304142&label=gen173nr-1FCAQoggJCKHNlYXJjaF9kZXNoYWllcy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4Av_c070GwAIB0gIkZDRmYzNhYzgtNjA0MS00NTlkLWIxMmEtZTczYThlNDcxMDQy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=797d907fd4480663&srepoch=1739910790&from=searchresults,La Baie du Bonheur,Booking
,Isabelle et Cédrik,,,,,,,Isabelle et Cédrik,,,Guadeloupe,,,,Cottage La Pointe Marine Deshaies,,Bungalow 2 Chambres,,,,,,"impasse la pointe marine Ferry / Le roux, 97126 Deshaies, GuadeloupeExcellente situation géographique — avec une note de 9.2/10!(note basée sur 52 commentaires)Évaluée par les clients après leur séjour à l'établissement Cottage La Pointe Marine Deshaies.",,,Deshaies,,,,,,,https://www.booking.com/hotel/gp/residence-la-pointe-marine.fr.html?aid=304142&label=gen173nr-1FCAQoggJCKHNlYXJjaF9kZXNoYWllcy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4Av_c070GwAIB0gIkZDRmYzNhYzgtNjA0MS00NTlkLWIxMmEtZTczYThlNDcxMDQy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=797d907fd4480663&srepoch=1739910790&from=searchresults,Cottage La Pointe Marine Deshaies,Booking
,Les Alizés de Maya,,,,,,,Les Alizés de Maya,,,Guadeloupe,,,,"Studio Malacca, Malanga et Majacudja - Ô Cœur de Deshaies",,Studio - Vue sur Mer,,,,,,"226 chemin de matouba Lahaut, 97126 Deshaies, GuadeloupeExcellente situation géographique — avec une note de 9.2/10!(note basée sur 95 commentaires)Évaluée par les clients après leur séjour à l'établissement Studio Malacca, Malanga et Majacudja - Ô Cœur de Deshaies.",,,Deshaies,,,,,,,https://www.booking.com/hotel/gp/studio-malacca-o-coeur-de-deshaies.fr.html?aid=304142&label=gen173nr-1FCAQoggJCKHNlYXJjaF9kZXNoYWllcy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4Av_c070GwAIB0gIkZDRmYzNhYzgtNjA0MS00NTlkLWIxMmEtZTczYThlNDcxMDQy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=797d907fd4480663&srepoch=1739910790&from=searchresults,"Studio Malacca, Malanga et Majacudja - Ô Cœur de Deshaies",Booking
,,,,,,,,,,,Guadeloupe,,,,karureve,,Maison 1 Chambre,,,,,,"impasse de l'harmonie, 97126 Deshaies, GuadeloupeExcellente situation géographique — avec une note de 9.8/10!(note basée sur 22 commentaires)Évaluée par les clients après leur séjour à l'établissement karureve.",,,Deshaies,,,,,,,https://www.booking.com/hotel/gp/karureve.fr.html?aid=304142&label=gen173nr-1FCAQoggJCKHNlYXJjaF9kZXNoYWllcy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4Av_c070GwAIB0gIkZDRmYzNhYzgtNjA0MS00NTlkLWIxMmEtZTczYThlNDcxMDQy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=797d907fd4480663&srepoch=1739910790&from=searchresults,karureve,Booking
,Gérée par Céline et Hugues,,,,,,,Gérée par Céline et Hugues,,,Guadeloupe,,,,Gites LES CALEBASSIERS,,Bungalow - Vue sur Jardin,,,,,,"Impasse bougainvilliers Ferry leroux, 97126 Deshaies, GuadeloupeUne fois votre réservation effectuée, toutes les informations sur l'établissement, y compris le numéro de téléphone et l'adresse, seront disponibles sur votre confirmation de réservation ainsi que dans votre compte.",,,Deshaies,,,,,,,https://www.booking.com/hotel/gp/gites-les-calebassiers.fr.html?aid=304142&label=gen173nr-1FCAQoggJCKHNlYXJjaF9kZXNoYWllcy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4Av_c070GwAIB0gIkZDRmYzNhYzgtNjA0MS00NTlkLWIxMmEtZTczYThlNDcxMDQy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=797d907fd4480663&srepoch=1739910790&from=searchresults,Gites LES CALEBASSIERS,Booking
,,,,,,,,https://www.airbnb.fr/users/show/667975282,,,Guadeloupe,,,,Gîte Émeraude 6 pers. Piscine,,,,,,,,,,,Deshaies,,,,,,,https://www.airbnb.fr/rooms/1316141292526817415?search_mode=regular_search&adults=1&check_in=2025-03-06&check_out=2025-03-11&children=0&infants=0&pets=0&source_impression_id=p3_1739910830_P3hnbuBXRdBr3RU4&previous_page_section_name=1000,Gîte Émeraude 6 pers. Piscine,Airbnb
